;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 23/01/2016 16:35:29
;----------------------------------------------

;Address Opcode 	ASM
0x1078	0x0E01      	MOVLW       1
0x107A	0x6E5D      	MOVWF       FARG_Lcd_Out_column 
0x107C	0x0E48      	MOVLW       _MsgWelcome1
0x107E	0x6E5E      	MOVWF       FARG_Lcd_Out_text 
0x1080	0x0E00      	MOVLW       hi_addr(_MsgWelcome1)
0x1082	0x6E5F      	MOVWF       FARG_Lcd_Out_text+1 
0x1084	0xD8CA      	RCALL       _Lcd_Out
;DisplayLCD16x2(MikroC).c,80 :: 		DELAY_MS (500);
0x1086	0x0E0D      	MOVLW       13
0x1088	0x6E0B      	MOVWF       R11, 0
0x108A	0x0EAF      	MOVLW       175
0x108C	0x6E0C      	MOVWF       R12, 0
0x108E	0x0EB6      	MOVLW       182
0x1090	0x6E0D      	MOVWF       R13, 0
L_main4:
0x1092	0x2E0D      	DECFSZ      R13, 1, 0
0x1094	0xD7FE      	BRA         L_main4
0x1096	0x2E0C      	DECFSZ      R12, 1, 0
0x1098	0xD7FC      	BRA         L_main4
0x109A	0x2E0B      	DECFSZ      R11, 1, 0
0x109C	0xD7FA      	BRA         L_main4
0x109E	0x0000      	NOP
;DisplayLCD16x2(MikroC).c,81 :: 		AFSmartBoard_str (2,1, MsgWelcome2 ) ;
0x10A0	0x0E02      	MOVLW       2
0x10A2	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
0x10A4	0x0E01      	MOVLW       1
0x10A6	0x6E5D      	MOVWF       FARG_Lcd_Out_column 
0x10A8	0x0E15      	MOVLW       _MsgWelcome2
0x10AA	0x6E5E      	MOVWF       FARG_Lcd_Out_text 
0x10AC	0x0E00      	MOVLW       hi_addr(_MsgWelcome2)
0x10AE	0x6E5F      	MOVWF       FARG_Lcd_Out_text+1 
0x10B0	0xD8B4      	RCALL       _Lcd_Out
;DisplayLCD16x2(MikroC).c,82 :: 		Delay_ms (500);
0x10B2	0x0E0D      	MOVLW       13
0x10B4	0x6E0B      	MOVWF       R11, 0
0x10B6	0x0EAF      	MOVLW       175
0x10B8	0x6E0C      	MOVWF       R12, 0
0x10BA	0x0EB6      	MOVLW       182
0x10BC	0x6E0D      	MOVWF       R13, 0
L_main5:
0x10BE	0x2E0D      	DECFSZ      R13, 1, 0
0x10C0	0xD7FE      	BRA         L_main5
0x10C2	0x2E0C      	DECFSZ      R12, 1, 0
0x10C4	0xD7FC      	BRA         L_main5
0x10C6	0x2E0B      	DECFSZ      R11, 1, 0
0x10C8	0xD7FA      	BRA         L_main5
0x10CA	0x0000      	NOP
;DisplayLCD16x2(MikroC).c,86 :: 		PORTA.RA4 = 1;
0x10CC	0x8880      	BSF         PORTA, 4 
;DisplayLCD16x2(MikroC).c,88 :: 		for (i=0;i<15;i++)
0x10CE	0x6A59      	CLRF        _i 
0x10D0	0x6A5A      	CLRF        _i+1 
L_main6:
0x10D2	0x0E80      	MOVLW       128
0x10D4	0x185A      	XORWF       _i+1, 0 
0x10D6	0x6E00      	MOVWF       R0 
0x10D8	0x0E80      	MOVLW       128
0x10DA	0x5C00      	SUBWF       R0, 0 
0x10DC	0xE102      	BNZ         L__main14
0x10DE	0x0E0F      	MOVLW       15
0x10E0	0x5C59      	SUBWF       _i, 0 
L__main14:
0x10E2	0xE213      	BC          L_main7
;DisplayLCD16x2(MikroC).c,91 :: 		PORTA.RA4 ^= 1;
0x10E4	0x7880      	BTG         PORTA, 4 
;DisplayLCD16x2(MikroC).c,92 :: 		PORTA.RA5 ^= 1;
0x10E6	0x7A80      	BTG         PORTA, 5 
;DisplayLCD16x2(MikroC).c,93 :: 		Delay_ms (120);
0x10E8	0x0E04      	MOVLW       4
0x10EA	0x6E0B      	MOVWF       R11, 0
0x10EC	0x0E0C      	MOVLW       12
0x10EE	0x6E0C      	MOVWF       R12, 0
0x10F0	0x0E33      	MOVLW       51
0x10F2	0x6E0D      	MOVWF       R13, 0
L_main9:
0x10F4	0x2E0D      	DECFSZ      R13, 1, 0
0x10F6	0xD7FE      	BRA         L_main9
0x10F8	0x2E0C      	DECFSZ      R12, 1, 0
0x10FA	0xD7FC      	BRA         L_main9
0x10FC	0x2E0B      	DECFSZ      R11, 1, 0
0x10FE	0xD7FA      	BRA         L_main9
0x1100	0x0000      	NOP
0x1102	0x0000      	NOP
;DisplayLCD16x2(MikroC).c,88 :: 		for (i=0;i<15;i++)
0x1104	0x4A59      	INFSNZ      _i, 1 
0x1106	0x2A5A      	INCF        _i+1, 1 
;DisplayLCD16x2(MikroC).c,94 :: 		}
0x1108	0xD7E4      	BRA         L_main6
L_main7:
;DisplayLCD16x2(MikroC).c,96 :: 		while (1)
L_main10:
;DisplayLCD16x2(MikroC).c,99 :: 		PORTA.RA4 ^= 1;
0x110A	0x7880      	BTG         PORTA, 4 
;DisplayLCD16x2(MikroC).c,100 :: 		PORTA.RA5 ^= 1;
0x110C	0x7A80      	BTG         PORTA, 5 
;DisplayLCD16x2(MikroC).c,101 :: 		Delay_ms (120);
0x110E	0x0E04      	MOVLW       4
0x1110	0x6E0B      	MOVWF       R11, 0
0x1112	0x0E0C      	MOVLW       12
0x1114	0x6E0C      	MOVWF       R12, 0
0x1116	0x0E33      	MOVLW       51
0x1118	0x6E0D      	MOVWF       R13, 0
L_main12:
0x111A	0x2E0D      	DECFSZ      R13, 1, 0
0x111C	0xD7FE      	BRA         L_main12
0x111E	0x2E0C      	DECFSZ      R12, 1, 0
0x1120	0xD7FC      	BRA         L_main12
0x1122	0x2E0B      	DECFSZ      R11, 1, 0
0x1124	0xD7FA      	BRA         L_main12
0x1126	0x0000      	NOP
0x1128	0x0000      	NOP
;DisplayLCD16x2(MikroC).c,103 :: 		}
0x112A	0xD7EF      	BRA         L_main10
;DisplayLCD16x2(MikroC).c,108 :: 		}
L_end_main:
0x112C	0xD7FF      	BRA         $+0
; end of _main
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x112E	0x0000      	NOP
0x1130	0x0000      	NOP
0x1132	0x0000      	NOP
0x1134	0x0000      	NOP
0x1136	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x1138	0x0012      	RETURN      0
; end of _Delay_1us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x113A	0x0E24      	MOVLW       36
0x113C	0x6E0C      	MOVWF       R12, 0
0x113E	0x0EB5      	MOVLW       181
0x1140	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x1142	0x2E0D      	DECFSZ      R13, 1, 0
0x1144	0xD7FE      	BRA         L_Delay_5500us5
0x1146	0x2E0C      	DECFSZ      R12, 1, 0
0x1148	0xD7FC      	BRA         L_Delay_5500us5
0x114A	0x0000      	NOP
0x114C	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x114E	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x1150	0x0E53      	MOVLW       83
0x1152	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x1154	0x2E0D      	DECFSZ      R13, 1, 0
0x1156	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x1158	0x0012      	RETURN      0
; end of _Delay_50us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x115A	0x0100      	MOVLB       0
0x115C	0xBF62      	BTFSC       FARG_Lcd_Cmd_out_char, 7, 1
0x115E	0xD002      	BRA         L__Lcd_Cmd21
0x1160	0x9681      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x1162	0xD001      	BRA         L__Lcd_Cmd22
L__Lcd_Cmd21:
0x1164	0x8681      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x1166	0xBD62      	BTFSC       FARG_Lcd_Cmd_out_char, 6, 1
0x1168	0xD002      	BRA         L__Lcd_Cmd23
0x116A	0x9481      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x116C	0xD001      	BRA         L__Lcd_Cmd24
L__Lcd_Cmd23:
0x116E	0x8481      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x1170	0xBB62      	BTFSC       FARG_Lcd_Cmd_out_char, 5, 1
0x1172	0xD002      	BRA         L__Lcd_Cmd25
0x1174	0x9281      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x1176	0xD001      	BRA         L__Lcd_Cmd26
L__Lcd_Cmd25:
0x1178	0x8281      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x117A	0xB962      	BTFSC       FARG_Lcd_Cmd_out_char, 4, 1
0x117C	0xD002      	BRA         L__Lcd_Cmd27
0x117E	0x9081      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x1180	0xD001      	BRA         L__Lcd_Cmd28
L__Lcd_Cmd27:
0x1182	0x8081      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x1184	0xB05B      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x1186	0xD002      	BRA         L__Lcd_Cmd29
0x1188	0x8A81      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x118A	0xD001      	BRA         L__Lcd_Cmd30
L__Lcd_Cmd29:
0x118C	0x9A81      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x118E	0x8881      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,29 :: 		
0x1190	0xDFCE      	RCALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x1192	0x9881      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,33 :: 		
0x1194	0xB762      	BTFSC       FARG_Lcd_Cmd_out_char, 3, 1
0x1196	0xD002      	BRA         L__Lcd_Cmd31
0x1198	0x9681      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x119A	0xD001      	BRA         L__Lcd_Cmd32
L__Lcd_Cmd31:
0x119C	0x8681      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x119E	0xB562      	BTFSC       FARG_Lcd_Cmd_out_char, 2, 1
0x11A0	0xD002      	BRA         L__Lcd_Cmd33
0x11A2	0x9481      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x11A4	0xD001      	BRA         L__Lcd_Cmd34
L__Lcd_Cmd33:
0x11A6	0x8481      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x11A8	0xB362      	BTFSC       FARG_Lcd_Cmd_out_char, 1, 1
0x11AA	0xD002      	BRA         L__Lcd_Cmd35
0x11AC	0x9281      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x11AE	0xD001      	BRA         L__Lcd_Cmd36
L__Lcd_Cmd35:
0x11B0	0x8281      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x11B2	0xB162      	BTFSC       FARG_Lcd_Cmd_out_char, 0, 1
0x11B4	0xD002      	BRA         L__Lcd_Cmd37
0x11B6	0x9081      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x11B8	0xD001      	BRA         L__Lcd_Cmd38
L__Lcd_Cmd37:
0x11BA	0x8081      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x11BC	0xB05B      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x11BE	0xD002      	BRA         L__Lcd_Cmd39
0x11C0	0x8A81      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x11C2	0xD001      	BRA         L__Lcd_Cmd40
L__Lcd_Cmd39:
0x11C4	0x9A81      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x11C6	0x8881      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,41 :: 		
0x11C8	0xDFB2      	RCALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x11CA	0x9881      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,44 :: 		
0x11CC	0xA05B      	BTFSS       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x11CE	0xD002      	BRA         L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x11D0	0xDFB4      	RCALL       _Delay_5500us
0x11D2	0xD001      	BRA         L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x11D4	0xDFBD      	RCALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x11D6	0x0012      	RETURN      0
; end of _Lcd_Cmd
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x11D8	0x905B      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,53 :: 		
0x11DA	0xF062C061  	MOVFF       FARG_Lcd_Chr_CP_out_char, FARG_Lcd_Cmd_out_char
0x11DE	0xDFBD      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x11E0	0x805B      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x11E2	0x0012      	RETURN      0
; end of _Lcd_Chr_CP
_AFSmartBoard_Init:
;DisplayLCD16x2(MikroC).c,110 :: 		void AFSmartBoard_Init (void)
;DisplayLCD16x2(MikroC).c,112 :: 		RCON = 0X80;                                // LIMPA REGISTRO DE RESET
0x11E4	0x0E80      	MOVLW       128
0x11E6	0x6ED0      	MOVWF       RCON 
;DisplayLCD16x2(MikroC).c,113 :: 		ADCON1 = 0x0F;                                // CONFIGURA TODAS AS PORTAS ANALOGICAS COMO I/O
0x11E8	0x0E0F      	MOVLW       15
0x11EA	0x6EC1      	MOVWF       ADCON1 
;DisplayLCD16x2(MikroC).c,115 :: 		CMCON = 0x0F;                                // DESABILITA COMPARADOR
0x11EC	0x0E0F      	MOVLW       15
0x11EE	0x6EB4      	MOVWF       CMCON 
;DisplayLCD16x2(MikroC).c,117 :: 		T0CON = 0b11000101;                        // timer ativo, 8 bits,clock interno, preescale 1:64
0x11F0	0x0EC5      	MOVLW       197
0x11F2	0x6ED5      	MOVWF       T0CON 
;DisplayLCD16x2(MikroC).c,119 :: 		TRISA = 0;
0x11F4	0x6A92      	CLRF        TRISA 
;DisplayLCD16x2(MikroC).c,120 :: 		TRISB = 0;                        // todos Saida
0x11F6	0x6A93      	CLRF        TRISB 
;DisplayLCD16x2(MikroC).c,121 :: 		TRISC = 0;
0x11F8	0x6A94      	CLRF        TRISC 
;DisplayLCD16x2(MikroC).c,122 :: 		TRISD = 0;
0x11FA	0x6A95      	CLRF        TRISD 
;DisplayLCD16x2(MikroC).c,123 :: 		TRISE = 0;
0x11FC	0x6A96      	CLRF        TRISE 
;DisplayLCD16x2(MikroC).c,125 :: 		PORTA = 0;                                // nível 0 saída
0x11FE	0x6A80      	CLRF        PORTA 
;DisplayLCD16x2(MikroC).c,126 :: 		PORTB = 0;
0x1200	0x6A81      	CLRF        PORTB 
;DisplayLCD16x2(MikroC).c,127 :: 		PORTC = 0;
0x1202	0x6A82      	CLRF        PORTC 
;DisplayLCD16x2(MikroC).c,128 :: 		PORTD = 0;
0x1204	0x6A83      	CLRF        PORTD 
;DisplayLCD16x2(MikroC).c,129 :: 		PORTE = 0;
0x1206	0x6A84      	CLRF        PORTE 
;DisplayLCD16x2(MikroC).c,132 :: 		}
L_end_AFSmartBoard_Init:
0x1208	0x0012      	RETURN      0
; end of _AFSmartBoard_Init
___CC2DW:
;__Lib_System.c,21 :: 		
;__Lib_System.c,23 :: 		
_CC2DL_Loop1:
;__Lib_System.c,24 :: 		
0x120A	0x0009      	TBLRD*+
;__Lib_System.c,25 :: 		
0x120C	0xFFE6CFF5  	MOVFF       TABLAT, POSTINC1
;__Lib_System.c,26 :: 		
0x1210	0x0600      	DECF        R0, 1, 0
;__Lib_System.c,27 :: 		
0x1212	0xE1FB      	BNZ         _CC2DL_Loop1
;__Lib_System.c,28 :: 		
0x1214	0x0601      	DECF        R1, 1, 0
;__Lib_System.c,29 :: 		
0x1216	0xE1F9      	BNZ         _CC2DL_Loop1
;__Lib_System.c,31 :: 		
L_end___CC2DW:
0x1218	0x0012      	RETURN      0
; end of ___CC2DW
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x121A	0xD00F      	BRA         L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x121C	0x0E80      	MOVLW       128
0x121E	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
0x1220	0xD019      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x1222	0x0EC0      	MOVLW       192
0x1224	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
0x1226	0xD016      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x1228	0x0E94      	MOVLW       148
0x122A	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
0x122C	0xD013      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x122E	0x0ED4      	MOVLW       212
0x1230	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
0x1232	0xD010      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x1234	0x0E80      	MOVLW       128
0x1236	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
;__Lib_Lcd.c,193 :: 		
0x1238	0xD00D      	BRA         L_Lcd_Out12
L_Lcd_Out11:
0x123A	0x505C      	MOVF        FARG_Lcd_Out_row, 0 
0x123C	0x0A01      	XORLW       1
0x123E	0xE0EE      	BZ          L_Lcd_Out13
0x1240	0x505C      	MOVF        FARG_Lcd_Out_row, 0 
0x1242	0x0A02      	XORLW       2
0x1244	0xE0EE      	BZ          L_Lcd_Out14
0x1246	0x505C      	MOVF        FARG_Lcd_Out_row, 0 
0x1248	0x0A03      	XORLW       3
0x124A	0xE0EE      	BZ          L_Lcd_Out15
0x124C	0x505C      	MOVF        FARG_Lcd_Out_row, 0 
0x124E	0x0A04      	XORLW       4
0x1250	0xE0EE      	BZ          L_Lcd_Out16
0x1252	0xD7F0      	BRA         L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x1254	0x045D      	DECF        FARG_Lcd_Out_column, 0 
0x1256	0x6E00      	MOVWF       R0 
0x1258	0x505C      	MOVF        FARG_Lcd_Out_row, 0 
0x125A	0x2600      	ADDWF       R0, 1 
0x125C	0xF05CC000  	MOVFF       R0, FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x1260	0xF062C000  	MOVFF       R0, FARG_Lcd_Cmd_out_char
0x1264	0xDF7A      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x1266	0x905B      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,198 :: 		
0x1268	0x6B60      	CLRF        Lcd_Out_i_L0, 1
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x126A	0x5160      	MOVF        Lcd_Out_i_L0, 0, 1
0x126C	0x245E      	ADDWF       FARG_Lcd_Out_text, 0 
0x126E	0x6EE9      	MOVWF       FSR0L 
0x1270	0x0E00      	MOVLW       0
0x1272	0x205F      	ADDWFC      FARG_Lcd_Out_text+1, 0 
0x1274	0x6EEA      	MOVWF       FSR0H 
0x1276	0x52EE      	MOVF        POSTINC0, 1 
0x1278	0xE00B      	BZ          L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x127A	0x5160      	MOVF        Lcd_Out_i_L0, 0, 1
0x127C	0x245E      	ADDWF       FARG_Lcd_Out_text, 0 
0x127E	0x6EE9      	MOVWF       FSR0L 
0x1280	0x0E00      	MOVLW       0
0x1282	0x205F      	ADDWFC      FARG_Lcd_Out_text+1, 0 
0x1284	0x6EEA      	MOVWF       FSR0H 
0x1286	0xF061CFEE  	MOVFF       POSTINC0, FARG_Lcd_Chr_CP_out_char
0x128A	0xDFA6      	RCALL       _Lcd_Chr_CP
0x128C	0x2B60      	INCF        Lcd_Out_i_L0, 1, 1
0x128E	0xD7ED      	BRA         L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x1290	0x805B      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x1292	0x0012      	RETURN      0
; end of _Lcd_Out
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x1294	0x9893      	BCF         LCD_EN_Direction, BitPos(LCD_EN_Direction+0) 
;__Lib_Lcd.c,87 :: 		
0x1296	0x9A93      	BCF         LCD_RS_Direction, BitPos(LCD_RS_Direction+0) 
;__Lib_Lcd.c,88 :: 		
0x1298	0x9093      	BCF         LCD_D4_Direction, BitPos(LCD_D4_Direction+0) 
;__Lib_Lcd.c,89 :: 		
0x129A	0x9293      	BCF         LCD_D5_Direction, BitPos(LCD_D5_Direction+0) 
;__Lib_Lcd.c,90 :: 		
0x129C	0x9493      	BCF         LCD_D6_Direction, BitPos(LCD_D6_Direction+0) 
;__Lib_Lcd.c,91 :: 		
0x129E	0x9693      	BCF         LCD_D7_Direction, BitPos(LCD_D7_Direction+0) 
;__Lib_Lcd.c,93 :: 		
0x12A0	0x9881      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,94 :: 		
0x12A2	0x9A81      	BCF         LCD_RS, BitPos(LCD_RS+0) 
;__Lib_Lcd.c,95 :: 		
0x12A4	0x9681      	BCF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,96 :: 		
0x12A6	0x9481      	BCF         LCD_D6, BitPos(LCD_D6+0) 
;__Lib_Lcd.c,97 :: 		
0x12A8	0x9281      	BCF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,98 :: 		
0x12AA	0x9081      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,100 :: 		
